,yyyy,mm,tmax,tmin,af,rain,sun
187,1868,8,19.7,11.5,0,91.1, ---
188,1868,9,17.1,9.7,0,53.8, ---
189,1868,10,12,4.6,1,73.1, ---
190,1868,11,7.9,2.2,6,111.7, ---
191,1868,12,9.5,3.6,2,162.9, ---
192,1869,1,8.5,4.1,2,91.6, ---
193,1869,2,10.4,4.8,0,183.1, ---
194,1869,3,8.1,1.1,10,66, ---
195,1869,4,14.5,5.6,0,86.8, ---
196,1869,5,12.6,5,0,71.3, ---
197,1869,6,17.9,8.8,0,31.4, ---
198,1869,7,22.5,12.6,0,46, ---
199,1869,8,19.7,11,0,43.8, ---
200,1869,9,17,10,0,125.7, ---
201,1869,10,14.2,7.6,0,51, ---
202,1869,11,10.4,3.1,9,123.7, ---
203,1869,12,6.2,-0.5,12,162.8, ---
204,1870,1,6.9,1,11,92.1, ---
205,1870,2,6.7,0.2,12,68.6, ---
206,1870,3,10.2,2.4,7,36.2, ---
207,1870,4,14.5,5.1,0,33.5, ---
208,1870,5,16,7.4,0,60.1, ---
209,1870,6,19.8,10.5,0,23.7, ---
210,1870,7,21.6,12.7,0,41.3, ---
211,1870,8,21.6,11.1,0,51.9, ---
212,1870,9,18.2,10.3,0,75, ---
213,1870,10,13.1,5.7,1,226.4, ---
214,1870,11,8.5,2.1,7,45.3, ---
215,1870,12,4.7,-1.5,17,91.1, ---
216,1871,1,5.1,-0.1,14,104.8, ---
217,1871,2,10.2,4.8,0,88.5, ---
218,1871,3,11.6,3.2,4,52.7, ---
219,1871,4,13.2,5.3,1,86, ---
220,1871,5,17.4,7.1,0,10.1, ---
221,1871,6,18.5,10,0,44.3, ---
222,1871,7,19.8,11.2,0,118.1, ---
223,1871,8,20.8,12,0,65.6, ---
224,1871,9,16,8.3,0,102.1, ---
225,1871,10,13.8,6.7,0,74.4, ---
226,1871,11,8.4,2.5,5,50.3, ---
227,1871,12,7.6,1.1,9,64.7, ---
228,1872,1,7.9,1.5,8,150.4, ---
229,1872,2,9.9,4.2,0,86.5, ---
230,1872,3,10.6,3.6,4,67.5, ---
231,1872,4,13.1,4.5,0,106.7, ---
232,1872,5,14.4,6.2,0,55.5, ---
233,1872,6,18.2,9.5,0,93.8, ---
234,1872,7,21.3,12.7,0,64.2, ---
235,1872,8,19.8,11.9,0,65.1, ---
236,1872,9,16.4,9.7,0,131.9, ---
237,1872,10,11.8,4.5,1,133.5, ---
238,1872,11,9.2,2.8,3,135, ---
239,1872,12,7.4,2,11,158.9, ---
240,1873,1,7.8,1.9,6,152.7, ---
241,1873,2,6.2,-0.4,14,12.5, ---
242,1873,3,9.2,2.1,6,53.8, ---
243,1873,4,13.1,4.6,2,13.7, ---
244,1873,5,15.3,6.1,0,49, ---
245,1873,6,19.8,10.7,0,34.9, ---
246,1873,7,20.5,12.5,0,134.1, ---
247,1873,8,18.6,11.6,0,123.6, ---
248,1873,9,16.2,7.8,0,70.6, ---
249,1873,10,11.9,4.5,5,79.8, ---
250,1873,11,9.3,2.9,0,79.8, ---
251,1873,12,9.9,4.1,3,36.4, ---
252,1874,1,8.9,2.6,3,74.8, ---
253,1874,2,9,2.4,3,55, ---
254,1874,3,11.4,4.1,4,60.7, ---
255,1874,4,14.8,5.5,0,55.3, ---
256,1874,5,15.2,6.6,0,29, ---
257,1874,6,20,9.5,0,28.9, ---
258,1874,7,21.6,12.4,0,76.7, ---
259,1874,8,19.7,11.1,0,105.7, ---
260,1874,9,16.2,9.5,0,79, ---
261,1874,10,12.7,4.9,0,97.2, ---
262,1874,11,10.4,4.4,1,81.7, ---
263,1874,12,4.8,-1.6,21,77.3, ---
264,1875,1,9.7,3.9,3,98.9, ---
265,1875,2,7.3,1.1,6,43.7, ---
266,1875,3,9.5,2.9,3,30.8, ---
267,1875,4,14.7,4.5,0,8.4, ---
268,1875,5,17.7,8.2,0,42.7, ---
269,1875,6,18.6,9.5,0,83.4, ---
270,1875,7,19.5,10,0,96.3, ---
271,1875,8,20.7,12.8,0,95, ---
272,1875,9,18.3,11.1,0,128.1, ---
273,1875,10,12.8,6.5,0,120.9, ---
274,1875,11,8.6,2.6,8,100.8, ---
275,1875,12,7.3,0.8,12,51.6, ---
276,1876,1,8.3,2.3,8,33.4, ---
277,1876,2,8.5,1,9,99.8, ---
278,1876,3,8.3,0.2,14,90.3, ---
279,1876,4,12.5,3.7,4,46.1, ---
280,1876,5,15.7,6.2,0,12, ---
281,1876,6,19.1,9.3,0,38.6, ---
282,1876,7,21.8,11.5,0,52.3, ---
283,1876,8,20.5,11.1,0,66.1, ---
284,1876,9,16.4,9,0,70.6, ---
285,1876,10,14.2,8.7,0,98.6, ---
286,1876,11,9.8,4.3,5,71.5, ---
287,1876,12,9.1,3.3,6,178.3, ---
288,1877,1,8.5,2,5,133.5, ---
289,1877,2,9.4,2.8,3,76.8, ---
290,1877,3,9.8,1.5,9,73.2, ---
291,1877,4,10.7,3.8,0,81.4, ---
292,1877,5,14.3,5.3,1,69.1, ---
293,1877,6,19.7,10.3,0,78, ---
294,1877,7,19,10.8,0,80.7, ---
295,1877,8,18.9,11,0,77.8, ---
296,1877,9,16,7.6,0,47.8, ---
297,1877,10,13.9,6.7,0,87.1, ---
298,1877,11,10,3.3,2,95.9, ---
299,1877,12,8.4,1.9,6,88.6, ---
300,1878,1,8.5,2.3,6,90.6, ---
301,1878,2,9.6,3.5,2,42.8, ---
302,1878,3,10.2,2.9,8,38.3, ---
303,1878,4,13.8,5.2,2,34.3, ---
304,1878,5,16.3,7.9,0,105.8, ---
305,1878,6,19.4,10.6,0,91.4, ---
306,1878,7,21.5,12.2,0,4.3, ---
307,1878,8,20.6,12.5,0,72.5, ---
308,1878,9,17.8,9.9,0,109.5, ---
309,1878,10,13.9,7.4,0,75.5, ---
310,1878,11,6.9,-0.3,16,42.8, ---
311,1878,12,3.3,-4.2,27,47.1, ---
312,1879,1,4.2,-2,21,45, ---
313,1879,2,6.7,0.7,9,43.6, ---
314,1879,3,8.6,1,10,52.2, ---
315,1879,4,10.9,2.6,4,61.4, ---
316,1879,5,14.4,4.8,0,87.6, ---
317,1879,6,17.8,9.8,0,136.2, ---
318,1879,7,17.7,10.6,0,133.2, ---
319,1879,8,18.7,10.5,0,81.1, ---
320,1879,9,15.7,8.2,0,96, ---
321,1879,10,12.4,5.5,1,38.5, ---
322,1879,11,9,2.9,5,35.4, ---
323,1879,12,5.4,-1.4,16,49, ---
324,1880,1,6.8,1.3,9,35, ---
325,1880,2,9.7,3,3,67.2, ---
326,1880,3,11.3,3.2,2,48.9, ---
327,1880,4,12.7,3.9,0,108.6, ---
328,1880,5,16.1,6.5,0,27.2, ---
329,1880,6,17,9.7,0,111.9, ---
330,1880,7,17.1,10.9,0,149.1, ---
331,1880,8,19.6,13.1,0,27.7, ---
332,1880,9,17.1,10.6,0,105.7, ---
333,1880,10,9.4,3.4,4,28.4, ---
334,1880,11,8.1,2.8,6,88.4, ---
335,1880,12,6.9,2.2,12,64.2, ---
336,1881,1,2,-3.3,20,10.3, ---
337,1881,2,6.2,1.6,7,70.5, ---
338,1881,3,8.3,2.2,12,81.6, ---
339,1881,4,10.4,3.8,5,52, ---
340,1881,5,15.6,7.4,0,52.3, ---
341,1881,6,15.9,9.2,0,103.6, ---
342,1881,7,17.9,11,0,64.4, ---
343,1881,8,16,9.8,0,106.8, ---
344,1881,9,14.9,8.5,0,57.1, ---
345,1881,10,10.8,5.1,3,56.7, ---
346,1881,11,11.5,5.9,0,87.8, ---
347,1881,12,6.2,1.2,9,74.6, ---
348,1882,1,8.3,3.9,0,47.6, ---
349,1882,2,9.5,4.7,0,47.4, ---
350,1882,3,10.4,4.2,1,76.2, ---
351,1882,4,11.1,4,1,93.8, ---
352,1882,5,15.3,6.3,0,86.1, ---
353,1882,6,16.2,8.9,0,77.3, ---
354,1882,7,17.4,11,0,124.7, ---
355,1882,8,17.7,11.2,0,78.8, ---
356,1882,9,14,7.6,0,78.3, ---
357,1882,10,12.3,6.6,1,66, ---
358,1882,11,7.9,1.9,6,114, ---
359,1882,12,4.7,-0.1,11,87.2, ---
360,1883,1,7.5,2.8,1,99.5, ---
361,1883,2,7.9,2.9,2,102.2, ---
362,1883,3,6.5,-0.2,17,32.4, ---
363,1883,4,11.9,3.6,1,50.3, ---
364,1883,5,14,6,0,53.2, ---
365,1883,6,16.3,9,0,72.1, ---
366,1883,7,16.6,9.8,0,51.5, ---
367,1883,8,17.5,11.1,0,58.7, ---
368,1883,9,15.2,9.2,0,125, ---
369,1883,10,12.3,6.2,0,78.7, ---
